id	minute	city	visit_times
1021	109	河北省	120
1022	196	湖南省	138
1023	189	上海市	551
1024	197	四川省	472
1025	197	福建省	155
1026	200	江苏省	350
1027	342	黑龙江省	65
1028	342	云南省	36
1029	344	湖北省	303
1030	345	湖北省	188
1031	345	宁夏回族自治区	6
1032	346	河南省	158
1033	353	福建省	200
1034	350	河北省	112
1035	354	吉林省	103
1036	351	云南省	37
1037	578	贵州省	56
1038	355	辽宁省	173
1039	580	天津市	67
1040	583	西藏自治区	1
1041	585	吉林省	48
1042	587	辽宁省	92
1043	585	四川省	235
1044	608	广西壮族自治区	34
1045	587	广西壮族自治区	30
1046	612	山东省	110
1047	606	北京市	778
1048	614	安徽省	127
1049	607	吉林省	44
1050	615	河北省	116
1051	614	天津市	140
1052	949	全球 	66
1053	618	福建省	116
1054	951	内蒙古自治区	18
1055	947	江西省	39
1056	952	北京市	362
1057	957	黑龙江省	11
1058	954	吉林省	12
1059	957	青海省	2
1060	1040	黑龙江省	4
1061	1141	四川省	32
1062	1041	内蒙古自治区	8
1063	1143	新疆维吾尔自治区	7
1064	1043	吉林省	6
1065	1147	全球 	49
1066	1046	全球 	99
1067	1149	陕西省	12
1068	1047	广东省	203
1069	1150	河南省	13
1070	1050	广东省	199
1071	1153	新疆维吾尔自治区	17
1072	1050	四川省	81
1073	1156	福建省	21
1074	1055	四川省	122
1075	1158	河南省	39
1076	1055	甘肃省	1
1077	1158	新疆维吾尔自治区	2
1078	1059	山西省	12
1079	1162	河北省	10
1080	1063	广东省	186
1081	1163	内蒙古自治区	5
1082	1063	河北省	9
1083	1172	重庆市	13
1084	1067	贵州省	1
1085	111	江苏省	423
1086	1068	福建省	39
1087	123	浙江省	481
1088	1422	安徽省	15
1089	153	青海省	1
1090	1432	湖北省	28
1091	155	辽宁省	131
1092	1439	新疆维吾尔自治区	1
1093	178	青海省	1
1094	2	内蒙古自治区	66
1095	361	辽宁省	97
1096	8	重庆市	7
1097	362	广东省	1173
1098	9	黑龙江省	4
1099	366	广东省	1212
1100	10	重庆市	8
1101	572	陕西省	228
1102	1244	江西省	9
1103	637	浙江省	305
1104	688	云南省	27
1105	1250	江西省	9
1106	806	四川省	287
1107	1255	山西省	5
1108	806	新疆维吾尔自治区	46
1109	1263	重庆市	8
1110	808	湖北省	194
1111	1269	新疆维吾尔自治区	1
1112	809	辽宁省	164
1113	1272	重庆市	8
1114	523	河北省	200
1115	1272	内蒙古自治区	6
1116	601	广西壮族自治区	32
1117	1276	陕西省	10
1118	654	海南省	33
1119	1276	甘肃省	1
1120	656	吉林省	115
1121	1316	海南省	1
1122	661	青海省	1
1123	1319	湖北省	14
1124	665	吉林省	96
1125	1324	新疆维吾尔自治区	1
1126	763	贵州省	57
1127	1326	广东省	99
1128	764	全球 	57
1129	1333	山西省	3
1130	769	内蒙古自治区	10
1131	1339	重庆市	10
1132	882	黑龙江省	21
1133	1347	甘肃省	2
1134	884	河南省	145
1135	14	全球 	92
1136	886	浙江省	234
1137	15	陕西省	45
1138	887	山东省	113
1139	20	云南省	10
1140	903	上海市	306
1141	21	重庆市	8
1142	1282	青海省	1
1143	205	上海市	466
1144	1290	海南省	1
1145	207	全球 	134
1146	1296	福建省	21
1147	301	浙江省	445
1148	1301	浙江省	52
1149	304	贵州省	47
1150	67	湖南省	93
1151	307	内蒙古自治区	16
1152	67	吉林省	38
1153	461	四川省	433
1154	71	全球 	64
1155	528	福建省	340
1156	76	陕西省	125
1157	536	北京市	1392
1158	76	甘肃省	4
1159	537	河北省	276
1160	413	吉林省	61
1161	555	陕西省	198
1162	494	重庆市	155
1163	672	甘肃省	4
1164	506	甘肃省	33
1165	673	河北省	203
1166	509	河南省	307
1167	675	吉林省	52
1168	548	北京市	1219
1169	676	黑龙江省	20
1170	620	海南省	19
1171	146	北京市	1049
1172	634	广西壮族自治区	29
1173	149	山东省	352
1174	735	山西省	125
1175	214	贵州省	69
1176	738	河南省	323
1177	216	江苏省	224
1178	740	吉林省	55
1179	217	上海市	539
1180	746	贵州省	6
1181	221	江苏省	290
1182	934	四川省	101
1183	226	广东省	1046
1184	935	四川省	197
1185	333	西藏自治区	1
1186	937	内蒙古自治区	6
1187	431	广西壮族自治区	32
1188	941	青海省	3
1189	438	山东省	216
1190	943	重庆市	53
