id	label	city	visit_times
385	C++	上海市	3692
386	前端工具	湖南省	542
387	jQuery	四川省	5134
388	Linux	辽宁省	2031
389	性能测试	上海市	1443
390	性能测试	湖北省	392
391	PHP	青海省	186
392	性能测试	江西省	72
393	C#	云南省	726
394	CSS3	黑龙江省	217
395	SQLServer	山西省	108
396	Cocos2d-x	辽宁省	501
397	C++	湖北省	4837
398	C++	河南省	1793
399	大数据	海南省	184
400	Unity3D	江西省	216
401	C++	广东省	10830
402	Sass/Less	山东省	930
403	iOS	河南省	483
404	Python	浙江省	32734
405	Sass/Less	贵州省	45
406	Bootstrap	内蒙古自治区	469
407	接口测试	黑龙江省	36
408	Android	上海市	10191
409	CSS3	江西省	547
410	接口测试	北京市	2461
411	Sass/Less	云南省	299
412	Sass/Less	黑龙江省	979
413	jQuery	江苏省	8231
414	HTML/CSS	北京市	280597
415	前端工具	北京市	9436
416	HTML/CSS	重庆市	44764
417	Cocos2d-x	广东省	2660
418	Android	河南省	2922
419	前端工具	浙江省	5890
420	动效动画	甘肃省	40
421	动效动画	辽宁省	86
422	SQLServer	湖南省	500
423	性能测试	湖南省	224
424	Python	贵州省	1247
425	Oracle	广西壮族自治区	412
426	Python	安徽省	4505
427	iOS	天津市	401
428	Java	新疆维吾尔自治区	6137
429	JavaScript	安徽省	33320
430	jQuery	新疆维吾尔自治区	220
431	MySQL	新疆维吾尔自治区	505
432	Java	青海省	777
433	Python	广西壮族自治区	3159
434	模型制作	江西省	22
435	前端工具	贵州省	63
436	Sass/Less	湖南省	851
437	SQLServer	福建省	102
438	云计算	福建省	40
439	HTML/CSS	辽宁省	41886
440	jQuery	天津市	927
441	C#	全球 	312
442	Android	吉林省	869
443	Cocos2d-x	广西壮族自治区	183
444	接口测试	湖北省	26
445	Android	甘肃省	145
446	Cocos2d-x	天津市	34
447	PHP	山西省	2936
448	Oracle	湖北省	1420
449	Android	陕西省	2321
450	JavaScript	湖南省	29896
451	接口测试	全球	28
452	PHP	全球 	6193
453	Go	四川省	309
454	Cocos2d-x	河北省	26
455	MongoDB	湖南省	27
456	C	新疆维吾尔自治区	5061
457	Html5	浙江省	3568
458	iOS	安徽省	561
459	Unity3D	广东省	4043
460	Bootstrap	天津市	3219
461	Oracle	甘肃省	709
462	Go	湖北省	124
463	jQuery	广东省	41960
464	C#	河北省	2452
465	Linux	重庆市	1245
466	Cocos2d-x	湖南省	1055
467	性能测试	辽宁省	266
468	Java	海南省	3524
469	Linux	山西省	1635
470	JavaScript	四川省	77765
471	JavaScript	新疆维吾尔自治区	6538
472	SQLServer	浙江省	1805
473	Oracle	江西省	1183
474	PHP	山东省	8654
475	接口测试	宁夏回族自治区	126
476	Go	陕西省	112
477	设计工具	青海省	1543
478	SQLServer	北京市	1182
479	MongoDB	广西壮族自治区	116
480	HTML/CSS	安徽省	69322
481	Html5	江苏省	3429
482	C#	辽宁省	559
483	设计工具	宁夏回族自治区	1019
484	HTML/CSS	天津市	34938
485	Linux	湖北省	6105
486	设计工具	辽宁省	4993
487	C++	河北省	1647
488	CSS3	海南省	37
489	WebApp	北京市	6371
490	Python	湖南省	3885
491	Android	湖北省	5343
492	Unity3D	云南省	297
493	WebApp	湖北省	1225
494	Android	全球 	1223
495	C#	广东省	6479
496	jQuery	湖北省	7025
497	iOS	江苏省	435
498	大数据	湖北省	418
